gene,rho,p,n,rho_adj_purity,p_adj_purity,n_purity,rho_adj_fibro,p_adj_fibro,log2FC_axis1,log2FC_axis2,direction_axis1,fdr,fdr_adj_purity,fdr_adj_fibro
NLRP9,0.32622991796677026,6.20438954085808e-06,184,0.3457421434628734,7.537254780976107e-06,161,0.4232948461664951,2.371901207498115e-09,0.9402451612903228,0.9509729166666664,up_in_TGM2high,1.087940574951585e-05,1.5419351283957658e-05,4.113047523251579e-09
SLC30A2,0.32730894952796047,5.75684635833551e-06,184,0.34486494906754533,7.976622070117637e-06,161,0.3622838638144376,4.6660277788161314e-07,1.0102870967741937,1.7887815860215053,up_in_TGM2high,1.0180185933101778e-05,1.6265033927992317e-05,6.149333451660839e-07
CCDC108,0.3070085607243825,2.2460647280568634e-05,184,0.3445797287473924,8.12463159767428e-06,161,0.43539848516956586,7.288877966058757e-10,1.1308612903225812,0.981205577956989,up_in_TGM2high,3.497603282994021e-05,1.6513049935532793e-05,1.3459697955022954e-09
TSPAN13,0.3113204866601306,1.6959672668987726e-05,184,0.3443212163963798,8.261024466627284e-06,161,0.38310777468426904,8.664427153396323e-08,0.8688983870967721,0.6246006048387063,up_in_TGM2high,2.7362770852542053e-05,1.673592658934848e-05,1.2216061707265985e-07
ZNF468,0.3199880564812853,9.514022663908589e-06,184,0.34348865795189926,8.715169610807667e-06,161,0.41823326652580434,3.832327486114825e-09,0.8376774193548382,0.745679166666668,up_in_TGM2high,1.6140320291617282e-05,1.7486205693479486e-05,6.5014553016473725e-09
VWA5A,0.37362733681446775,1.7507401165217258e-07,184,0.3420951144955243,9.528617712993377e-06,161,0.3989407741873413,2.2217501468756415e-08,1.0847225806451588,0.6556182795698948,up_in_TGM2high,4.5101370902987667e-07,1.903638789256405e-05,3.3594579515559215e-08
ZNF253,0.3417869045096415,2.0501747419760314e-06,184,0.34185583314628043,9.675325544377566e-06,161,0.3477762281039846,1.40828603682733e-06,1.1094580645161294,0.9185474462365608,up_in_TGM2high,4.048610058287053e-06,1.922778981200113e-05,1.749180672726009e-06
MACC1,0.3508447149929687,1.0460726305357774e-06,184,0.3411883793361205,1.0095930860435392e-05,161,0.4982248425011562,7.144259428146173e-13,1.8410951612903224,1.315951545698926,up_in_TGM2high,2.22735192760339e-06,1.9929086574111688e-05,2.4708875149279027e-12
GRM8,0.39980350985340296,1.8820738755145572e-08,184,0.3411458419576262,1.0123314376820882e-05,161,0.4149766883443525,5.196505192775317e-09,1.2114306451612906,0.9316354838709672,up_in_TGM2high,7.05495955731804e-08,1.9929086574111688e-05,8.697893718388632e-09
PIGR,0.356399137754004,6.851783214530781e-07,184,0.3411412190799307,1.0126294591772745e-05,161,0.5096674663985507,1.7252811357902734e-13,4.671241935483869,3.562980779569892,up_in_TGM2high,1.5428835583799527e-06,1.9929086574111688e-05,7.05899340525955e-13
YPEL2,0.45748299974957135,6.636840770474729e-11,184,0.34109589593480616,1.0155556896392377e-05,161,0.4703960657030174,1.8299529854108628e-11,1.049979032258065,0.6084823924731193,up_in_TGM2high,6.109797532819383e-10,1.9929086574111688e-05,4.510041609713386e-11
TRIM36,0.3284904244674372,5.302014565693259e-06,184,0.34082502925681013,1.0332112731682632e-05,161,0.36320017537995164,4.3435180801615923e-07,1.42682258064516,0.9502047043010746,up_in_TGM2high,9.483031766068514e-06,2.0212195531354148e-05,5.760682877502452e-07
GALNT4,0.35453581829280095,7.903844833898341e-07,184,0.34030321685187526,1.0680454307231611e-05,161,0.4801529311412503,6.0676068518442885e-12,1.2908338709677416,0.5921106182795679,up_in_TGM2high,1.7421855162043528e-06,2.0763864584866426e-05,1.665930653181809e-11
C17orf93,0.3003418760639934,3.43819025455576e-05,184,0.3402532946178858,1.0714356335789827e-05,161,0.3588316680897841,6.099177070194118e-07,1.2244080645161284,0.9472164650537632,up_in_TGM2high,5.136771120171613e-05,2.0765285034688643e-05,7.872339888539212e-07
